objective,model_seed,evaluation_seed,tangent_local_mmd,tangent_rollout_mmd,mfsi_rollout_mmd,velocity_gap,min_ess,max_moment_error,angular_error
fiber,20260812,20300814,0.0494332291781201,0.06566213203838116,0.06967870646087716,0.18144015341669806,0.8601873930628491,0.0015135575745915905,0.05022819431452941
fiber,20260812,20300815,0.06140454158454017,0.06282938405338985,0.06190523242520096,0.19096047477131337,0.8601873930628491,0.0015135575745911592,0.04118410993387698
fiber,20260812,20300816,0.05941933353569333,0.061940201829909836,0.06274311541242304,0.1789674011403111,0.8601873930628491,0.0015135575745916622,0.056842509969401635
fiber,20260812,20300817,0.0486815582324827,0.05904242752191977,0.05966981584176425,0.1846764458005969,0.8601873930628491,0.0015135575745908632,0.05258387795246811
fiber,20260812,20300818,0.0623823882482416,0.08521774458988947,0.0867826204146186,0.18165512024890001,0.8601873930628491,0.001513557574591794,0.06424608657349548
fiber,20260812,20300819,0.0478327389505247,0.06721758339316795,0.06506415351591428,0.1818905293712629,0.8601873930628491,0.001513557574591683,0.045118233482824344
random,20260812,20300810,0.06979927110706861,0.08911484041332603,0.08184844328128765,0.3773021712626604,0.514658085976517,0.0018235612565302931,0.05705486689023311
random,20260812,20300811,0.08675949353323432,0.09159283576544998,0.07787356783808248,0.367848731174551,0.514658085976517,0.0018235612565306533,0.07340657909026542
random,20260812,20300812,0.06676790501025825,0.09284643274962646,0.08781171535467523,0.37574478599602185,0.514658085976517,0.0018235612565302335,0.08200194131012432
random,20260812,20300813,0.05810226025498833,0.07650402871783729,0.07824862659443275,0.37320886996479885,0.514658085976517,0.0018235612565298286,0.06346543093083945
random,20260812,20300814,0.05474440549946985,0.07886804861823443,0.07910211993776259,0.36942446633674636,0.514658085976517,0.001823561256530925,0.06479583740272148
random,20260812,20300815,0.07015687741550033,0.07167959765085184,0.06686535836631462,0.3699056360819931,0.514658085976517,0.0018235612565299143,0.06436678119094232
random,20260812,20300816,0.06579827977900773,0.07765572876769448,0.06820261613618761,0.37227376941189005,0.514658085976517,0.0018235612565308777,0.055605553411398036
