design_index,design_id,source_time_index,day,production_case_valid,diagnostic_reasons,full_action_density,tangent_action_density,log_action_robust_z_score,maximum_relative_rank_action_change,scaled_weak_relative_residual,compatibility_relative_residual,adaptive_quadrature_required,adaptive_quadrature_valid,density_modified,operator_floor,final_test_accessed
223,design_000223,32,8.0,False,rank_sensitivity,78368271.65009622,2771706.7645496083,2.198696322699519,0.11969020466811707,8.204550403510825e-25,3.180886148052614e-16,False,False,False,0.0,False
223,design_000223,33,8.25,False,rank_sensitivity,56378961.57464425,2522342.0682251705,2.4105505065870907,0.10186634490413686,3.883916779072193e-21,1.5408443909861631e-15,False,False,False,0.0,False
223,design_000223,34,8.5,False,rank_sensitivity,41876433.74825286,2375473.388675673,2.6102168187757155,0.08741138093133982,1.78224784202405e-21,1.4672068246610042e-16,False,False,False,0.0,False
223,design_000223,35,8.75,False,rank_sensitivity,31930098.54926317,2282877.627443279,2.683494773359502,0.07655979769861838,1.8810976504475732e-21,5.386662605942839e-16,False,False,False,0.0,False
224,design_000224,2,0.5,False,rank_sensitivity,3088279.6009157584,832912.7244873018,0.07427660870906924,0.062390662865698845,1.2920187821950497e-26,1.89338135174602e-15,True,True,False,0.0,False
224,design_000224,4,1.0,False,rank_sensitivity,42828655.85823294,2077261.383640054,1.692453967770744,0.12128079938174073,2.6645167301501764e-21,2.2565254165929913e-14,True,True,False,0.0,False
224,design_000224,9,2.25,False,rank_sensitivity,19359129.30900483,815273.3022577782,0.4059277786443866,0.05498272605177528,1.4795151848124694e-22,1.924621930995656e-15,True,True,False,0.0,False
224,design_000224,19,4.75,False,rank_sensitivity;log_action_outlier,1041515374.3762528,25044715.293367296,6.180904424526567,0.3934792313406235,4.674922238722986e-21,1.2745171447988444e-15,False,False,False,0.0,False
224,design_000224,20,5.0,False,rank_sensitivity,685965462.0306505,7449587.217173899,5.710165108874182,0.511453726532555,2.1761833030768557e-21,3.822101028654759e-16,False,False,False,0.0,False
224,design_000224,21,5.25,False,rank_sensitivity,400882556.5592842,4129559.6742034415,4.933011019146139,0.4916585720072444,0.0,1.9581358967576324e-16,False,False,False,0.0,False
224,design_000224,22,5.5,False,rank_sensitivity;log_action_outlier,282215689.6215349,2741008.725923102,6.10394698142001,0.5348483247561331,0.0,9.68122147089191e-16,False,False,False,0.0,False
224,design_000224,23,5.75,False,rank_sensitivity,161484853.31317347,1974942.7054601042,5.13114525260958,0.4761364317745891,2.729668213048796e-20,7.504985777688228e-17,False,False,False,0.0,False
224,design_000224,24,6.0,False,rank_sensitivity,89657190.07582827,1520693.6325154423,3.8100848840739636,0.4000955787053431,2.8854341351339277e-20,7.303374258005933e-16,False,False,False,0.0,False
224,design_000224,25,6.25,False,rank_sensitivity,49168671.01282013,1266753.42329102,3.433841830937638,0.30840297686793283,1.5424266609155186e-20,3.821348897409378e-16,False,False,False,0.0,False
224,design_000224,26,6.499999999999999,False,rank_sensitivity,27993215.04350198,1158039.7922602806,1.9477653409502582,0.21596100597056248,3.2218615822682134e-20,1.1544507452195518e-16,False,False,False,0.0,False
224,design_000224,27,6.75,False,rank_sensitivity,17620746.94083395,1170690.8202105276,0.7523655468707591,0.12768365128265022,8.33595397122158e-21,1.2891986281339916e-16,False,False,False,0.0,False
224,design_000224,28,7.0,False,rank_sensitivity,12521721.14100973,1289512.8357510602,0.428364180216901,0.06645770298213287,8.269186039845852e-21,2.8571649323391315e-15,False,False,False,0.0,False
