design_index,design_id,day,source_time_index,fully_grid_usable,validation_mmd2
25,design_000025,30.0,120,True,0.0020607929789185167
25,design_000025,32.5,130,True,0.002717816508204308
25,design_000025,35.0,140,True,0.00464215262074618
25,design_000025,37.5,150,True,0.005452744015486226
25,design_000025,40.0,160,True,0.007345938026574077
25,design_000025,42.5,170,True,0.00898634746865077
25,design_000025,45.0,180,True,0.010656565987643814
26,design_000026,0.0,0,True,0.002059954747725343
26,design_000026,2.5,10,True,0.0011607223859144496
26,design_000026,5.0,20,True,0.006210817987365015
26,design_000026,7.5,30,True,0.012600475393392976
26,design_000026,10.0,40,True,0.021636092027902978
26,design_000026,12.5,50,True,0.029338488416699775
26,design_000026,15.0,60,True,0.029321195609327284
26,design_000026,17.5,70,True,0.029259403109333566
26,design_000026,20.0,80,True,0.0300509593030836
26,design_000026,22.5,90,True,0.03377284286012283
26,design_000026,25.0,100,True,0.027614231809567468
26,design_000026,27.5,110,True,0.01827271281022388
26,design_000026,30.0,120,True,0.007416282080034468
26,design_000026,32.5,130,True,0.0077509609740082416
26,design_000026,35.0,140,True,0.011025977251029483
26,design_000026,37.5,150,True,0.011133740749425351
26,design_000026,40.0,160,True,0.010115317872662552
26,design_000026,42.5,170,True,0.011312048872439867
26,design_000026,45.0,180,True,0.012948093144137373
27,design_000027,0.0,0,True,0.002240435720728082
27,design_000027,2.5,10,True,0.0047450362578418896
27,design_000027,5.0,20,True,0.011846555134774825
27,design_000027,7.5,30,True,0.02821387511550441
27,design_000027,10.0,40,True,0.04952454112086459
27,design_000027,12.5,50,True,0.06078221858380835
27,design_000027,15.0,60,True,0.0681799320644034
27,design_000027,17.5,70,True,0.057216039470839836
27,design_000027,20.0,80,True,0.04051526010968711
27,design_000027,22.5,90,True,0.02919168716380425
27,design_000027,25.0,100,True,0.01937515351713618
27,design_000027,27.5,110,True,0.013529349653463835
27,design_000027,30.0,120,True,0.007585247163029567
27,design_000027,32.5,130,True,0.008833339917290926
27,design_000027,35.0,140,True,0.009141424656558941
27,design_000027,37.5,150,True,0.008189904505147543
27,design_000027,40.0,160,True,0.010043558196343828
27,design_000027,42.5,170,True,0.01053545560722332
27,design_000027,45.0,180,True,0.0111612638566276
28,design_000028,0.0,0,True,0.0017490886634201122
28,design_000028,2.5,10,True,0.04222943805781809
28,design_000028,5.0,20,True,0.013941738780705653
28,design_000028,7.5,30,True,0.009523591306632908
28,design_000028,10.0,40,True,0.019213363916650746
28,design_000028,12.5,50,True,0.0203694855327632
28,design_000028,15.0,60,True,0.02137889794979107
28,design_000028,17.5,70,True,0.017018849492556845
28,design_000028,20.0,80,True,0.011526142899732264
28,design_000028,22.5,90,True,0.008957417019978653
28,design_000028,25.0,100,True,0.004813780591419667
28,design_000028,27.5,110,True,0.002551409913981892
28,design_000028,30.0,120,True,0.0018251062644303602
28,design_000028,32.5,130,True,0.0015465492882354517
28,design_000028,35.0,140,True,0.0028016656966935623
28,design_000028,37.5,150,True,0.003922300851611523
28,design_000028,40.0,160,True,0.004851988699273589
28,design_000028,42.5,170,True,0.005782991642306444
28,design_000028,45.0,180,True,0.007646909435995571
29,design_000029,0.0,0,False,nan
29,design_000029,2.5,10,False,nan
29,design_000029,5.0,20,False,nan
29,design_000029,7.5,30,False,nan
29,design_000029,10.0,40,False,nan
29,design_000029,12.5,50,False,nan
29,design_000029,15.0,60,False,nan
29,design_000029,17.5,70,False,nan
29,design_000029,20.0,80,False,nan
29,design_000029,22.5,90,False,nan
29,design_000029,25.0,100,False,nan
29,design_000029,27.5,110,False,nan
29,design_000029,30.0,120,False,nan
29,design_000029,32.5,130,False,nan
29,design_000029,35.0,140,False,nan
29,design_000029,37.5,150,False,nan
29,design_000029,40.0,160,False,nan
29,design_000029,42.5,170,False,nan
29,design_000029,45.0,180,False,nan
30,design_000030,0.0,0,True,0.0020371385620486654
30,design_000030,2.5,10,True,0.02428052074059782
30,design_000030,5.0,20,True,0.07804956958867401
30,design_000030,7.5,30,True,0.08468624412747239
30,design_000030,10.0,40,True,0.042479676502003225
30,design_000030,12.5,50,True,0.028927678036278312
30,design_000030,15.0,60,True,0.026830077765073776
