case,design_id,design_index,style,day,source_time_index,original_failure_reason,original_newton_residual,nominal_particle_count,unique_reference_paths,duplicate_paths_collapsed,coordinate_support_margin,exact_lp_success,minimum_linf_residual,minimum_l2_residual_at_linf_solution,active_weight_count,maximum_weight,lp_status
16,design_000302,302,longitudinal_stratified,7.5,30,native_nonconvergence;moment_residual;low_ess,0.6036469709152321,2000,200,1800,0.029969454181532768,False,0.03519778365343418,0.0626478824810702,3,0.5963817686029574,Optimization terminated successfully. (HiGHS Status 7: Optimal)
16,design_000302,302,longitudinal_stratified,7.5,30,native_nonconvergence;moment_residual;low_ess,0.6036469709152321,10000,200,9800,0.029969454181532768,False,0.03519778365343418,0.0626478824810702,3,0.5963817686029574,Optimization terminated successfully. (HiGHS Status 7: Optimal)
16,design_000302,302,longitudinal_stratified,7.5,30,native_nonconvergence;moment_residual;low_ess,0.6036469709152321,50000,200,49800,0.029969454181532768,False,0.03519778365343418,0.0626478824810702,3,0.5963817686029574,Optimization terminated successfully. (HiGHS Status 7: Optimal)
16,design_000302,302,longitudinal_stratified,7.5,30,native_nonconvergence;moment_residual;low_ess,0.6036469709152321,200000,200,199800,0.029969454181532768,False,0.03519778365343418,0.0626478824810702,3,0.5963817686029574,Optimization terminated successfully. (HiGHS Status 7: Optimal)
17,design_000354,354,lateral_discriminating,7.5,30,native_nonconvergence;moment_residual;low_ess,0.10899389193170377,2000,200,1800,0.0005496027283205113,False,0.0026363191594456215,0.004950253011538099,3,0.7395517375530744,Optimization terminated successfully. (HiGHS Status 7: Optimal)
17,design_000354,354,lateral_discriminating,7.5,30,native_nonconvergence;moment_residual;low_ess,0.10899389193170377,10000,200,9800,0.0005496027283205113,False,0.0026363191594456215,0.004950253011538099,3,0.7395517375530744,Optimization terminated successfully. (HiGHS Status 7: Optimal)
17,design_000354,354,lateral_discriminating,7.5,30,native_nonconvergence;moment_residual;low_ess,0.10899389193170377,50000,200,49800,0.0005496027283205113,False,0.0026363191594456215,0.004950253011538099,3,0.7395517375530744,Optimization terminated successfully. (HiGHS Status 7: Optimal)
17,design_000354,354,lateral_discriminating,7.5,30,native_nonconvergence;moment_residual;low_ess,0.10899389193170377,200000,200,199800,0.0005496027283205113,False,0.0026363191594456215,0.004950253011538099,3,0.7395517375530744,Optimization terminated successfully. (HiGHS Status 7: Optimal)
18,design_000387,387,lateral_discriminating,10.0,40,native_nonconvergence;moment_residual;low_ess,0.2525344410234297,2000,200,1800,0.0027764069157454403,True,5.551115123125783e-17,5.553824967135427e-17,5,0.5296368134902945,Optimization terminated successfully. (HiGHS Status 7: Optimal)
18,design_000387,387,lateral_discriminating,10.0,40,native_nonconvergence;moment_residual;low_ess,0.2525344410234297,10000,200,9800,0.0027764069157454403,True,5.551115123125783e-17,5.553824967135427e-17,5,0.5296368134902945,Optimization terminated successfully. (HiGHS Status 7: Optimal)
18,design_000387,387,lateral_discriminating,10.0,40,native_nonconvergence;moment_residual;low_ess,0.2525344410234297,50000,200,49800,0.0027764069157454403,True,5.551115123125783e-17,5.553824967135427e-17,5,0.5296368134902945,Optimization terminated successfully. (HiGHS Status 7: Optimal)
18,design_000387,387,lateral_discriminating,10.0,40,native_nonconvergence;moment_residual;low_ess,0.2525344410234297,200000,200,199800,0.0027764069157454403,True,5.551115123125783e-17,5.553824967135427e-17,5,0.5296368134902945,Optimization terminated successfully. (HiGHS Status 7: Optimal)
19,design_000409,409,lateral_discriminating,10.0,40,low_ess,1.4190948067196214e-11,2000,200,1800,0.003150535833300403,True,2.7755575615628914e-17,2.7755575615628914e-17,5,0.5472958362362137,Optimization terminated successfully. (HiGHS Status 7: Optimal)
19,design_000409,409,lateral_discriminating,10.0,40,low_ess,1.4190948067196214e-11,10000,200,9800,0.003150535833300403,True,2.7755575615628914e-17,2.7755575615628914e-17,5,0.5472958362362137,Optimization terminated successfully. (HiGHS Status 7: Optimal)
19,design_000409,409,lateral_discriminating,10.0,40,low_ess,1.4190948067196214e-11,50000,200,49800,0.003150535833300403,True,2.7755575615628914e-17,2.7755575615628914e-17,5,0.5472958362362137,Optimization terminated successfully. (HiGHS Status 7: Optimal)
19,design_000409,409,lateral_discriminating,10.0,40,low_ess,1.4190948067196214e-11,200000,200,199800,0.003150535833300403,True,2.7755575615628914e-17,2.7755575615628914e-17,5,0.5472958362362137,Optimization terminated successfully. (HiGHS Status 7: Optimal)
