candidate_rank,pair_id,observation_dimension,t,target_hull_feasible,target_hull_lp_residual,calibration_converged,maximum_standardized_residual,ess_fraction,maximum_weight
7,v6_F0280_k05950__v6_F0280_k05800,2,0.2,True,0.0,True,3.144262628040906e-12,0.010125318613406252,0.10832341160196865
7,v6_F0280_k05950__v6_F0280_k05800,2,0.30000000000000004,False,,False,,,
7,v6_F0280_k05950__v6_F0280_k05800,2,0.4,True,1.1102230246251565e-16,True,9.992007221626409e-16,0.005841150144751667,0.09497384087120248
7,v6_F0280_k05950__v6_F0280_k05800,2,0.5,True,0.0,True,3.3097413698612854e-11,0.005742736005881275,0.11000030729180525
7,v6_F0280_k05950__v6_F0280_k05800,2,0.6,True,1.1102230246251565e-16,True,3.3306690738754696e-16,0.007096249874089325,0.10666862342800634
7,v6_F0280_k05950__v6_F0280_k05800,2,0.7000000000000001,True,0.0,True,9.203748874142548e-14,0.010769674853481943,0.09301073111508466
7,v6_F0280_k05950__v6_F0280_k05800,2,0.8,True,1.1102230246251565e-16,True,3.6193270602780103e-12,0.025781677827555652,0.047179377078174635
7,v6_F0280_k05950__v6_F0280_k05800,2,0.9,True,2.220446049250313e-16,True,6.198497271014958e-11,0.20039313184215338,0.01489210846246575
8,v6_F0280_k05950__v6_F0280_k05825,3,0.1,True,0.0,True,9.972023207183156e-12,0.0831942268174431,0.026552421698866673
8,v6_F0280_k05950__v6_F0280_k05825,3,0.2,True,3.3306690738754696e-16,True,6.5503158452884236e-15,0.012237815528913783,0.09138823617181287
8,v6_F0280_k05950__v6_F0280_k05825,3,0.30000000000000004,True,1.1102230246251565e-16,True,1.273492422626532e-11,0.003233395197512361,0.20352345148508824
8,v6_F0280_k05950__v6_F0280_k05825,3,0.4,True,1.1102230246251565e-16,True,3.3306690738754696e-15,0.004652792274803721,0.17835120906704086
8,v6_F0280_k05950__v6_F0280_k05825,3,0.5,True,4.440892098500626e-16,True,1.1102230246251565e-15,0.004454790178829976,0.22428164356813893
8,v6_F0280_k05950__v6_F0280_k05825,3,0.6,False,,False,,,
