objective,model_seed,strength,normalized_strength,tangent_local_mmd,tangent_rollout_mmd,mfsi_rollout_mmd,velocity_gap,angular_error,min_ess,mean_ess,mean_projection_distortion,mean_lambda_norm,max_moment_error
info,20260811,0.5114305978522361,0.9908661909597594,0.08391930003334619,0.08756190817288166,0.08211519309166469,0.3101349706048556,0.05822286991354868,0.27395416859854416,0.6333816094510973,0.2547091514350977,0.5976678139172924,0.001245162745181328
info,20260812,0.5049713532172867,0.9790155408464237,0.08177557306551794,0.09175198972973456,0.08130986687433567,0.40555260822311656,0.07409713603105096,0.2766197135981003,0.6360911485439059,0.25067338319671406,0.590924802215446,0.0017085545523007665
info,20260813,0.19951612842224747,0.3881573519618101,0.06480099432229632,0.1198339010001352,0.11908350415559592,0.4147162898465647,0.04149772347633971,0.5139948665309787,0.781626671030201,0.11098672611745412,0.42068071151158215,0.0017485646411297359
info,20260814,0.13416189640619908,0.2611360667160319,0.05849360850008482,0.13220922095617477,0.07464180430192117,1.0900343359383178,0.10079173791507368,0.6705555572596181,0.8579633206746914,0.0756949233238965,0.36388640134937955,0.0016791256295102727
info,20260815,0.20570793251230954,0.4006401277654234,0.0645498617276605,0.1025059099228326,0.07500011400158005,0.7221502583079354,0.049370459258193375,0.4988011638806816,0.7751492216540867,0.11923019529506587,0.4484542880236626,0.0015355297446685932
info,20260816,0.26804597376013534,0.5222661257036197,0.06809392973327462,0.10180271352905486,0.08261226562528545,0.2544045300651546,0.06255356692487742,0.42208048297315737,0.7302224533829033,0.1421692613918572,0.44994008966433857,0.002007359576402401
info,20260817,0.5010973162191472,0.97129211111989,0.08266565926682744,0.09320564208056138,0.08087034568218968,0.342803483156108,0.06453588681853216,0.2699968455756849,0.6332832406076074,0.24991369837134458,0.5887029579924374,0.0014665911877543435
info,20260818,0.5028369951401428,0.9739548888564846,0.083396795994447,0.09669298584934136,0.08755443381762601,1.1884240499661085,0.09383104718472021,0.27723880128420486,0.6368745006407266,0.2504349867222768,0.5914936453848268,0.0013209003382587494
info,20260819,0.515484501036315,0.9988709810580578,0.08437812243347169,0.08377232441763012,0.08206507331372481,0.5666867898331509,0.07267652075861517,0.27169749619961575,0.6321576871613099,0.2562424723769843,0.598093274477393,0.0021111402560654207
joint_matched_random,20260810,0.029892528630621428,0.05829647539597097,0.05510355177078742,0.0687633670071571,0.06771818537772065,0.0666986908692444,0.04470095332880651,0.8832519808745275,0.9543320119002097,0.02190707353428644,0.22926088142829476,0.0016287006209386712
joint_matched_random,20260811,0.02827863083473083,0.05468397056985795,0.05497189494645418,0.07134701361678406,0.058623505253521224,0.09187782074899865,0.04421310114364678,0.8971900253296194,0.9603597036748033,0.01923741777087979,0.21017468438384368,0.0016558620574173538
joint_matched_random,20260812,0.038916004268873636,0.07591423753920357,0.056282450678995656,0.0762117043410988,0.07277975310738889,0.23459782193042505,0.04382063397242816,0.8574789681039137,0.9435057371201655,0.027195431905636898,0.2482934441839339,0.0012284692504887145
joint_matched_random,20260813,0.05015433474672911,0.09753769755869501,0.05603105878759065,0.08608799582031271,0.0803139873641663,0.2772041269917652,0.04578186326075549,0.8308005376951316,0.9327834638069608,0.033201151086765204,0.26553698918624213,0.0017629771262197287
joint_matched_random,20260814,0.005669231811093535,0.011011151765872747,0.05402782807575587,0.05817283683587863,0.056386178441363066,0.03574375674799254,0.035887307522281406,0.9765411978336566,0.9908314320636601,0.004517510959597567,0.11235132340610314,0.0015244679678787852
joint_matched_random,20260815,0.026473587240262542,0.0516270189919761,0.05531193549953602,0.07124119817758098,0.06366779144147361,0.1705877921930669,0.04223439754020247,0.8921820310949377,0.9580499153353557,0.020016799114423632,0.22192972859824583,0.0015666903681304373
joint_matched_random,20260816,0.02762244152459859,0.05333181569520893,0.05501086159692757,0.0711520943939193,0.05949582748447191,0.09672100365358194,0.03853141210726387,0.8966629301512776,0.9599809461509334,0.019166251922559923,0.2107747535116425,0.0017619085177189484
joint_matched_random,20260817,0.18478073790991917,0.3585847522577753,0.06511677865502331,0.10951353088614901,0.08973363932335525,0.4364719790766249,0.05759011612909991,0.5162552857535606,0.7889738813699924,0.10516963637052494,0.4108479396067216,0.0014870883880929628
joint_matched_random,20260818,0.01899203840530569,0.03725040675240303,0.054521260358803,0.06455334428976786,0.0577753287406,0.08627408830601171,0.042324814774217276,0.9222739882119877,0.9696409243771568,0.014986876247225046,0.19963534743440214,0.0017011547221929177
joint_matched_random,20260819,0.35789742814774994,0.6939406850208617,0.07456740891706845,0.1002023478840531,0.0768899265738932,0.4837142734869214,0.061063600179308605,0.3460441149688203,0.685539411791216,0.1806375116857313,0.4967368523577863,0.001457688460300417
random,20260810,0.4259338013631401,0.8248755952761734,0.07742328875416056,0.10510858152638924,0.1063445133865496,0.5198636598069705,0.05894592284136589,0.30876411535178927,0.6611968112120696,0.2090614115053974,0.5318596181888278,0.001897161727401717
random,20260811,0.2991652907141045,0.5791994674187391,0.06949422265102041,0.11485989104409253,0.07455090184215754,0.3046232597039202,0.05853131011535181,0.4039173678147446,0.719890455527141,0.15992392377576392,0.4924136639119315,0.001199148609818014
random,20260812,0.16834163547319234,0.3267661892424655,0.06582718449384294,0.08191899902701683,0.07336883848380985,0.37312400064475215,0.06591052534819501,0.5073648457600243,0.7851171259545542,0.10458972026333253,0.4194402525289541,0.0018235612565305162
random,20260813,0.38688139365947827,0.748267929458966,0.07654561549358462,0.09736563653356968,0.08139547034030528,0.8091113055824375,0.07512049033756987,0.32278787513637835,0.6695518367927871,0.19509677949421228,0.5160811908989905,0.0017078304918915765
random,20260814,0.08805524246355712,0.17109366130266937,0.05832213067885056,0.09778661676293454,0.06256711752217646,0.2600228340272952,0.04985358490283097,0.709735670377832,0.8813036546809189,0.05689452201050934,0.33819443715082376,0.0016199873717462024
random,20260815,0.15949783244641974,0.31081447923082095,0.062378957777138366,0.10391071542523704,0.07319793837945973,0.4977162022034477,0.04468219485543233,0.5685279499276611,0.8135391654395374,0.09592615822788449,0.41692027771421775,0.0017016638668726227
random,20260816,0.1298147812460686,0.2530173015683438,0.05858081096984029,0.13242404580030762,0.06897374209359948,0.48476033000045626,0.09173949016464723,0.6769364353015719,0.8609920374298017,0.07163624059284435,0.3448671211049093,0.0021982450432881193
random,20260817,0.42542387989679575,0.8250233823664402,0.07906496548562755,0.09881234192685819,0.07877535411487921,0.5565373399528348,0.04988103170456697,0.28507427100290944,0.6486454754651321,0.21570339712959088,0.5402242288461159,0.0018352641705384164
random,20260818,0.37332936394138116,0.7242013425399474,0.07790984703237049,0.10443637230374732,0.08448051926290451,0.666427038422887,0.07337087816886446,0.33966767683445426,0.6803714329792865,0.19055208745181615,0.5166470485323549,0.0012001222022655282
random,20260819,0.48136692780504936,0.9333464622659197,0.08208641118529376,0.09042223968873922,0.08147592645345816,0.48721371832983545,0.07530477050950642,0.26933184999359466,0.6346329407542941,0.24066002091397848,0.5727655066614166,0.0021431699865973475
strength_matched_random,20260810,0.029627916388510568,0.05795527355499117,0.05549166643509194,0.06904518805837336,0.06524048249901934,0.08126717168925698,0.04754791454321239,0.8839919593150858,0.9540601927797694,0.022544197329996768,0.23696263212247098,0.0015768696020258086
strength_matched_random,20260811,0.0286752933203774,0.05595386577348007,0.05552047042027064,0.07086953042780167,0.05791228752912932,0.09507253951843432,0.04544367473442752,0.8873796245855553,0.9565289714565083,0.02065886540312081,0.21907202539936202,0.0013517461753437053
strength_matched_random,20260812,0.03878424469514287,0.07513494750783369,0.05577479588780908,0.07026756496162878,0.06613597340839203,0.22646427932877639,0.05033646987524713,0.8416543860479617,0.9387913509641939,0.029569626689976376,0.27041859546554375,0.0016157738453822282
strength_matched_random,20260813,0.0486188069882255,0.09407003828949809,0.055784104946599425,0.08205695228889284,0.06885853190733975,0.38063430932607545,0.052823729550473784,0.8350174680461752,0.9353250887780631,0.0325076192396417,0.26944959928723977,0.0014695247934307812
strength_matched_random,20260814,0.005736873710939146,0.011097172481229569,0.05405280180385062,0.058238169437305774,0.05617329828381947,0.03395128195347265,0.03587599687571282,0.9779991315977868,0.9914093325625869,0.004274088957262975,0.10552482173840656,0.0014637390847440951
strength_matched_random,20260815,0.02620648579012,0.05026949360737295,0.054769667651410184,0.07102081411606209,0.06236312894882464,0.3170242585839164,0.04805311846353448,0.9024009834801598,0.9623889174816587,0.018580301823748556,0.2119947797602249,0.0013190297120037433
strength_matched_random,20260816,0.027632979082197355,0.05452028178292253,0.05511722079354325,0.07001587018560243,0.06018152433079156,0.08301392114313977,0.04336850365445781,0.8929024179391355,0.9576467052263492,0.020379148424467173,0.22284738828435763,0.0017972781204906123
strength_matched_random,20260817,0.18431550178840775,0.3572663834387516,0.06375801940979055,0.10992486424713119,0.09403613807818881,0.42361792292776457,0.059588559713861254,0.5312843924658169,0.793154663725724,0.10366870150830294,0.4032695769796487,0.0016890266467871208
strength_matched_random,20260818,0.01847620185232668,0.03608079171116192,0.05480587649656103,0.06473200542479236,0.05772123629842964,0.09989515091743564,0.04029066820862207,0.9270331688514993,0.9715899092004996,0.014218881541006256,0.19465332452114453,0.0016612009267715864
strength_matched_random,20260819,0.3518075292656778,0.6825420884140669,0.07335913020783424,0.11938665589021089,0.09008847666491829,0.9195551698179676,0.0718951344749244,0.34783843551591376,0.6884597764374092,0.17660883039826833,0.48749605883022895,0.0017565363869253806
